3 Schténg	high fermentation	6%	Brasserie Grain d'Orge
IV Saison	saison	6.5%	Brasserie de Jandrain-Jandrenouille
V Cense	high fermentation	7.5%	Brasserie de Jandrain-Jandrenouille
VI Wheat	high fermentation, wheat beer	6%	Brasserie de Jandrain-Jandrenouille
Aardmonnik	oud bruin	8%	De Struise Brouwers
Aarschotse Bruine	brown ale	6%	Stadsbrouwerij Aarschot
Abbay d'Aulne Blonde des Pères 6	Abbey Beer, blond	6%	Brasserie Val de Sambre
Abbay d'Aulne Brune des Pères 6	Abbey Beer, bruin	6%	Brasserie Val de Sambre
Abbay d'Aulne Super Noël 9	Abbey Beer, kerstbier	9%	Brasserie Val de Sambre
Abbay d'Aulne Triple Blonde	Abbey Beer, tripel	8%	Brasserie Val de Sambre
Abbay d'Aulne Triple Brune	Abbey Beer, tripel	8%	Brasserie Val de Sambre
Abbay d'Aulne Val de Sambre	Abbey Beer, amber	6.4%	Brasserie Val de Sambre
Abbaye de Bonne-Espérance	Abbey Beer	7.8%	brewery Lefebvre
Abbaye de Forest	Abbey Beer, tripel	6.5%	Brasserie de Silly
Abbaye de la Thure	Abbey Beer	10%	Brasserie Brootcoorens
Abbaye de Saint-Martin Blonde	Abbey Beer	7%	Brasserie de Brunehaut
Abbaye de Saint-Martin Brune	Abbey Beer	8%	Brasserie de Brunehaut
Abbaye de Saint-Martin Cuvée de Noël	Abbey Beer, kerstbier	8.5%	Brasserie de Brunehaut
Abbaye de Saint-Martin Triple	Abbey Beer, tripel	9%	Brasserie de Brunehaut
Abbaye de Oudkerken	Abbey Beer	6.2%	brewery Lefebvre
Abbaye des Rocs Blonde	Abbey Beer, high fermentation	7.5%	Brasserie de l'Abbaye des Rocs
Abbaye des Rocs Brune	Abbey Beer bruin	9%	Brasserie de l'Abbaye des Rocs
Abbaye des Rocs Grand Cru	Abbey Beer ale	9.5%	Brasserie de l'Abbaye des Rocs
Abbaye des Rocs Spéciale Noël	Abbey Beer, kerstbier	9%	Brasserie de l'Abbaye des Rocs
Abdis Blond	blond	6.5%	Brewery Riva
Abdis Bruin	bruin	6.5%	Brewery Riva
Abdis Tripel	tripel	8.2%	Brewery Riva
Abdij van Roosenberg Dubbel	dubbel	7%	Brewery Van Steenberge
Abdij van Roosenberg Tripel	Tripel	9%	brewery Van Steenberge
Achel 5 Blond	trappist, blond	5%	Achelse Kluis
Achel 5 Bruin	trappist, bruin	5%	Achelse Kluis
Achel 8 Blond	trappist, blond	8%	Achelse Kluis
Achel 8 Bruin	trappist, bruin	8%	Achelse Kluis
Achel Blond Extra	trappist, blond	9.5%	Achelse Kluis
Achel Bruin Extra	trappist, bruin	9.5%	Achelse Kluis
Adelardus	Abbey Beer	7%	Brewery Sint-Jozef voor Brewery Kerkom
Adelardus Tripel	Abbey Beer, tripel	9%	Brewery Sint-Jozef voor Brewery Kerkom
Adler	pils	6.5%	Brewery Haacht
Adriaen Brouwer	high fermentation, bruin	5%	Brewery Roman
Adriaen Brouwer Dark Gold	high fermentation, bruin	8.5%	Brewery Roman
Affligem Blond	Abbey Beer, blond	6.8%	Affligem Brewery (vroeger Brewery De Smedt nu deel van Heineken)
Affligem Dubbel	Abbey Beer, bruin	6.8%	Affligem Brewery (Heineken)
Affligem 950 Cuvee	Abbey Beer, blond	6.8%	Affligem Brewery (Heineken)
Affligem Noël	Abbey Beer, kerstbier	9%	Affligem Brewery (Heineken)
Affligem Patersvat	Abbey Beer, dubbel gehopt	6.8%	Affligem Brewery (Heineken)
Affligem Tripel	Abbey Beer, tripel	8.5%	Affligem Brewery (Heineken)
Agrumbocq	high fermentation, witbier, fruitbier	3.1%	Brasserie du Bocq
Alpaïde	donkere tripel	10%	Brewery Nieuwhuys
Alpaïde Cuvée van de generaal	blonde tripel	8.5%	Brewery Nieuwhuys
Akila Pils	pils	5%	Brewery Louwaege
Alfri	NA pils	0.5%	Brewery Roman
Altitude 6	ale, blond	6%	Brasserie de l'Abbaye des Rocs
Alvinne Extra Restyled	lichtamber	7%	Brewery Alvinne
Alvinne Lex'ke	blond	6.3%	Brewery Alvinne
Alvinne Tripel	tripel	8.7%	Brewery Alvinne
Alvino Bourgogne Barrel OA	fruitbier, oak aged	5.5%	Brewery Alvinne
Ambetanterik	stout	8.7%	Brewery Het Alternatief bij Brewery Alvinne
Ambiorix	roodbruin	8%	Brewery Slaghmuylder
Angélus Blonde	blond	7%	Brasserie Brootcoorens
Angélus Brune	bruin	7%	Brasserie Brootcoorens
Angélus Spéciale Noël	kerstbier	9%	Brasserie Brootcoorens
Anker Blond	blond	6.5%	Brewery Het Anker
